"","neigh","landuse","property","size","tot","net","build_year","out","assessed_value"
"17",0.677002583979328,0.00201207243460765,"COMMERCIAL",0.0119117639232073,0.0197059510382144,0.0330688117367566,27,0.564530803649135,6896000
"18",0.677002583979328,0.3158953722334,"COMMERCIAL",0.0071589400758404,0.0031849507351224,0.00514891843454341,26,0.565227584797534,2269500
"19",0.891472868217054,0.17102615694165,"COMMERCIAL",0.00789769788801177,0.00405944578875976,0.00111976826574418,20,0.567582815961563,2201500
"20",0.677002583979328,0.00804828973843058,"COMMERCIAL",0.0122092122140103,0.0107423767384316,0.0171768015671237,13,0.564863746695876,4745500
"21",0.677002583979328,0.0442655935613682,"COMMERCIAL",0.012445874069363,0.00898344918736553,0.0150817905222357,2,0.564328067667376,2561500
"22",0.677002583979328,0.00201207243460765,"COMMERCIAL",0.0160675298934857,0.0342841810801008,0.0529879548201559,14,0.56513966598913,8848500
"23",0.677002583979328,0.00201207243460765,"COMMERCIAL",0.0355907821504117,0.0735321153339726,0.0513023381819697,9,0.566003406029263,28764000
"24",0.677002583979328,0.00804828973843058,"COMMERCIAL",0.014391175084737,0.0114181229162423,0.0191699412328596,3,0.56916769857178,5995000
"25",0.268733850129199,0.241448692152918,"COMMERCIAL",0.000642377541740897,0.028555244734397,0.0347463010044596,46,0.5420181599111,8915500
"26",0.268733850129199,0.432595573440644,"COMMERCIAL",0.000767449009703866,0.00640468252351448,0.0107594715125245,34,0.541389691179511,4133500
"27",0.563307493540052,0.207243460764588,"URBAN",0.0108282794815495,0,8.33576459800775e-06,25,0.521583934216303,8731500
"28",0.563307493540052,0.362173038229376,"MULTI-RES",0.0016512837811497,0.0104492221465872,0.0175400075021881,11,0.523724154090237,3505500
"29",0.30749354005168,0.00804828973843058,"COMMERCIAL",0.0331471674453139,0.0212214112163928,0.0356119868294919,5,0.897098087443133,15403000
"30",0.364341085271318,0.275653923541247,"COMMERCIAL",0.00196021395420436,0.00411907045150776,0.00692310257158338,16,0.55596082719838,1482500
"31",0.677002583979328,0.0100603621730382,"COMMERCIAL",0.0047820553687701,0.00537615709111145,0.00903405993414746,23,0.561113850328419,1491500
"32",0.268733850129199,0.241448692152918,"COMMERCIAL",0.000706432936608636,0.0263441634908253,0.0706021589630309,39,0.545276462133018,5950500
"33",0.268733850129199,0.303822937625755,"COMMERCIAL",0.00254214276291423,0.060896655553292,0.00440328429125162,33,0.543806690930268,13414500
"34",0.276485788113695,0.225352112676056,"COMMERCIAL",0.0229269414316211,0.0174998385165384,0.0216621514608427,43,0.543206182497481,3396000
"35",0.366925064599483,0.354124748490946,"COMMERCIAL",0.00211407117637719,0.0013912421307867,0.00234803484349602,21,0.538940078936723,852000
"36",0.276485788113695,0.167002012072435,"COMMERCIAL",0.00384256723864541,0.00182352093570971,0.00229375234443379,34,0.541219566990782,2004000
"37",0.366925064599483,0.245472837022133,"COMMERCIAL",0.0162215221966262,0.0111647180995632,0.00211719251448339,20,0.537778239918188,8878500
"38",0.645994832041344,0.374245472837022,"COMMERCIAL",0.00724444632837367,0.00342841810801008,0.000309757012461968,16,0.542062724644357,3291000
"39",0.645994832041344,0.245472837022133,"COMMERCIAL",0.128742617453644,0.143675562335101,0.215861718001084,36,0.545932297676124,74208000
"40",0.839793281653747,0.3158953722334,"COMMERCIAL",0.0107410171764366,0.0132018940767866,0.0221615637894386,14,0.825681084110642,7255500
"41",0.839793281653747,0.3158953722334,"COMMERCIAL",0.0123062003487953,0.0116417154015473,0.0194000750218814,17,0.826167780318842,6646500
"42",0.839793281653747,0.3158953722334,"COMMERCIAL",0.0061538025954295,0.00580843589603446,0.00966131788438294,18,0.823496583597145,3906000
"43",0.839793281653747,0.3158953722334,"COMMERCIAL",0.0557191971424864,0.0620742426425651,0.0894220314258325,18,0.823255091105708,20749000
"44",0.839793281653747,0.0100603621730382,"COMMERCIAL",0.00356227423073618,0.00378616608449808,0.00636395615387821,5,0.821067478459983,2562000
"45",0.839793281653747,0.06841046277666,"COMMERCIAL",0.0723962934106666,0.061522714512146,0.103228349935398,2,0.81723469411674,14501500
"46",0.839793281653747,0.245472837022133,"COMMERCIAL",0.00794578671250126,0.00806423563666718,0.0110350935689576,11,0.818193652451272,7598500
"47",0.865633074935401,0.412474849094567,"URBAN",0.00277475218923698,0.0015104914562827,0.00239519859959155,27,0.766000231683192,484500
