"","neigh","size","tot","landuse","net","build_year","out","assessed_value"
"2264",0.864583333333333,0.0397498654171787,0.114196859362402,0.21010101010101,0.113826616495498,17,0.752642301264423,13393000
"2265",0.864583333333333,0.00875210860976562,0.0321358639313002,0.228282828282828,0.0321371268717483,37,0.754045877010622,3628500
"2266",0.864583333333333,0.0105448607335755,0.0419519561795308,0.228282828282828,0.0370392833278649,37,0.751504109872816,4073000
"2267",0.864583333333333,0.0112604293163269,0.0258648271625478,0.228282828282828,0.0258710846242565,20,0.747564586732303,4182000
"2268",0.864583333333333,0.0105448607335755,0.0479414361954004,0.228282828282828,0.0479414110396118,36,0.740876149343267,4537500
"2269",0.864583333333333,0.00651607170867527,0.0283348477673829,0.228282828282828,0.0276228786293558,29,0.739596725643224,3157000
"2270",0.864583333333333,0.0110505087684962,0.0128748224272752,0.402020202020202,0.0128845421725146,16,0.73790465611805,3103000
"2271",0.65625,0.0194657178829951,0.0677527931709689,0.21010101010101,0.0677587726927105,12,0.724732392107386,9034500
"2272",0.65625,0.0755589398902011,0.270243290630559,0.21010101010101,0.267420799822711,37,0.725611033607837,27100000
"2273",0.65625,0.00677548447325732,0.0347594609467986,0.228282828282828,0.0282803133023683,36,0.72053081200488,3115000
"2274",0.65625,0.0191102319917781,0.0683287047109564,0.228282828282828,0.0683478658988379,38,0.719635948490743,6665000
"2275",0.65625,0.0186811972954817,0.070901109589567,0.228282828282828,0.0709129745519798,37,0.715315229902598,7528500
"2276",0.65625,0.0415885855441632,0.0915571368237839,0.21010101010101,0.0885929504292337,35,0.716864622392805,9826500
"2277",0.65625,0.0153699688001372,0.0491444514122631,0.228282828282828,0.0483614423023774,12,0.712920830904735,6670000
"2278",0.65625,0.0153592429327298,0.0318927012810832,0.228282828282828,0.0319042155691562,21,0.711275312599295,5519000
"2279",0.213541666666667,0.00647102306556415,0.0293458924709165,0.228282828282828,0.029352915987694,36,0.702890252885583,2893000
